Latitude,Longitude,Height,Magnetic North,RawXMag,RawYMag,RawZMag,TimeUTC,id
42.66560944967624,97.60852256364345,423.9204589476084,146.29273458699828,-7.792498588562012,-5.198379993438721,13.083873748779297,2023-04-26 21:08:19.262808,2
43.39375056959676,99.10028878455009,424.0783782418212,146.29579451174644,-12.753663063049316,-8.433117866516113,21.644500732421875,2023-04-26 21:08:40.216362,3
44.09186002287099,100.61270014695724,424.22848845940166,146.32068372108196,-16.084577560424805,-10.118765830993652,27.788909912109375,2023-04-26 21:09:01.045907,4
44.76400192489815,102.15543021677843,424.3714710591405,146.38117187637158,-18.08696937561035,-11.345067977905273,31.474634170532227,2023-04-26 21:09:21.934935,5
45.41366600242834,103.7390679540659,424.5078699408219,146.44864048499298,-19.244625091552734,-11.774558067321777,34.44466781616211,2023-04-26 21:09:43.217774,6
46.04966797113561,105.3911644354972,424.63928514210437,146.53266547216248,-19.849262237548828,-12.093607902526855,35.881988525390625,2023-04-26 21:10:04.153020,7
46.64889916750632,107.05509405403899,424.7607631207399,146.63215400761288,-20.44345474243164,-11.776268005371094,36.92045593261719,2023-04-26 21:10:25.376677,8
47.22839171625341,108.78087216457827,424.87560905852115,146.78135265984264,-20.71799659729004,-11.405156135559082,38.17273712158203,2023-04-26 21:10:46.605834,9
47.77867347928009,110.54606378675271,424.9817462456702,146.96746165434715,-21.032718658447266,-11.06811237335205,38.402103424072266,2023-04-26 21:11:07.836154,10
48.298414127918306,112.34973604846734,425.0787887761848,147.19291253847092,-21.125186920166016,-10.42579174041748,39.2395133972168,2023-04-26 21:11:28.732241,11
48.77898409212596,114.16175561887907,425.16509335760065,147.46737686007873,-21.07586669921875,-9.766889572143555,39.54221725463867,2023-04-26 21:11:49.571810,12
49.226402509463504,116.00361069468866,425.24174546642735,147.7871936377754,-21.02727508544922,-9.080024719238281,39.71247482299805,2023-04-26 21:12:10.833765,13
49.649271662961276,117.91836245496886,425.31002054978444,148.15448023020366,-21.18865203857422,-8.50247859954834,40.43305587768555,2023-04-26 21:12:31.729695,14
50.030442613546576,119.83228978425313,425.3670467239749,148.56127263679127,-20.969329833984375,-7.973179340362549,40.53232192993164,2023-04-26 21:12:52.668282,15
50.37728424665509,121.78069300983634,425.4139623141364,148.99565900762576,-20.986000061035156,-7.452244281768799,40.79086685180664,2023-04-26 21:13:13.565230,16
50.68736464436714,123.75290693165555,425.45036268420665,149.4598659843765,-20.990636825561523,-7.060695171356201,40.72773361206055,2023-04-26 21:13:34.826421,17
50.965244355838266,125.78720672171275,425.4765552579917,149.95571039736274,-20.962345123291016,-6.39764928817749,40.367408752441406,2023-04-26 21:13:55.682886,18
51.199908713937425,127.80530847896637,425.49143700807184,150.48925745456745,-20.906877517700195,-5.909938335418701,40.5140266418457,2023-04-26 21:14:16.904446,19
51.39931006842324,129.8770238589002,425.49546416116635,151.0512044383411,-21.098957061767578,-5.291286945343018,40.49464797973633,2023-04-26 21:14:37.761286,20
51.55646399662652,131.9332400352396,425.488391683621,151.65101799087327,-21.285930633544922,-4.950847625732422,40.9921989440918,2023-04-26 21:14:58.607262,21
51.67409394004584,133.99856977382083,425.470335072203,152.26393184623353,-21.177568435668945,-4.617164611816406,40.6314697265625,2023-04-26 21:15:19.418993,22
51.75211678160174,136.07164320709813,425.441267439191,152.9015163448759,-21.48196792602539,-3.7645373344421387,40.268775939941406,2023-04-26 21:15:40.259399,23
51.79040714444189,138.15230049837677,425.4011114147814,153.59460296071376,-21.511207580566406,-3.293616771697998,39.99972152709961,2023-04-26 21:16:01.073162,24
51.7887751252406,140.23210433076034,425.3499639495998,154.30118603035157,-21.399974822998047,-2.8541626930236816,39.420982360839844,2023-04-26 21:16:22.310045,25
51.74605604256439,142.3516073751947,425.28644744309076,155.0262652522618,-21.41415786743164,-2.574408769607544,39.018184661865234,2023-04-26 21:16:43.485022,26
51.662296644690464,144.4592463954471,425.2117545678884,155.76630258845432,-21.407512664794922,-1.9439232349395752,39.025447845458984,2023-04-26 21:17:04.176604,27
51.540999718655264,146.509198365963,425.12789791905277,156.54079139882043,-21.24811363220215,-1.2452322244644165,38.86869430541992,2023-04-26 21:17:24.856484,28
51.38119460108257,148.5448090230157,425.0334685018682,157.35037372114203,-21.481266021728516,-0.9012506008148193,38.27589416503906,2023-04-26 21:17:45.505147,29
51.183691240379325,150.56035721011676,424.92874758838116,158.16442298718084,-21.432119369506836,-0.485322505235672,37.948158264160156,2023-04-26 21:18:06.322419,30
50.94657639386257,152.5739363125891,424.81266660400524,158.9877749708692,-21.58838653564453,-0.38499388098716736,37.95564651489258,2023-04-26 21:18:27.174710,31
50.67174790651583,154.56718234145154,424.68612048518355,159.7904314813724,-21.495468139648438,-0.010200842283666134,38.04325485229492,2023-04-26 21:18:47.839106,32
50.36319596151287,156.51740274260413,424.55071762994766,160.6005192376926,-21.756149291992188,0.3589455187320709,37.29927062988281,2023-04-26 21:19:08.476994,33
50.019994528595575,158.43730026148998,424.40581813088676,161.41029280531097,-21.87255859375,0.5021638870239258,37.1325798034668,2023-04-26 21:19:29.148113,34
49.64186825496583,160.33117487852672,424.2511772936095,162.21350939132614,-21.881927490234375,1.017822265625,36.67970275878906,2023-04-26 21:19:50.275950,35
49.221162955527475,162.2332877920174,424.0837014268161,163.03422492199485,-22.1758975982666,1.4385429620742798,36.6306037902832,2023-04-26 21:20:11.198085,36
48.771273754999925,164.0829300159096,423.9086857362567,163.86290445323584,-22.180776596069336,1.6948988437652588,36.319114685058594,2023-04-26 21:20:32.427032,37
